               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,            0.022684,           0.0040335,          0.00037318,             0.87552,             0.80294,             0.82726,             0.52968,            0.039084,           0.0030267,          0.00080558,            0.007856,            0.007856,            0.007856
                 136,            0.022091,           0.0032166,          0.00042315,             0.84102,             0.78449,             0.82367,             0.53074,             0.04044,           0.0028445,          0.00089136,             0.00784,             0.00784,             0.00784
                 137,            0.023206,           0.0038701,          0.00040391,             0.87617,             0.77666,             0.81676,             0.54192,            0.040216,           0.0029913,          0.00096548,            0.007824,            0.007824,            0.007824
                 138,            0.022202,           0.0039751,          0.00040487,             0.88807,             0.77075,             0.81329,             0.52903,            0.040923,           0.0030269,          0.00092355,            0.007808,            0.007808,            0.007808
                 139,            0.022292,           0.0041062,          0.00042455,              0.8541,             0.80532,             0.81877,             0.52857,            0.041011,           0.0030321,           0.0008237,            0.007792,            0.007792,            0.007792
                 140,            0.022035,           0.0039882,          0.00035134,             0.86762,             0.77525,             0.83025,              0.5316,            0.040631,           0.0030109,          0.00086647,            0.007776,            0.007776,            0.007776
                 141,            0.021685,           0.0036484,          0.00037207,             0.89023,             0.76555,             0.81548,             0.53647,            0.041327,           0.0030338,           0.0010611,             0.00776,             0.00776,             0.00776
                 142,            0.021514,             0.00309,          0.00037067,             0.87208,             0.76854,             0.82045,             0.51328,            0.041264,           0.0030918,           0.0010589,            0.007744,            0.007744,            0.007744
                 143,            0.022549,            0.003379,          0.00041549,             0.85092,             0.77805,             0.83873,             0.52678,            0.039783,           0.0031429,          0.00081717,            0.007728,            0.007728,            0.007728
                 144,              0.0214,           0.0034627,          0.00035726,             0.83207,             0.79364,             0.83078,             0.53293,            0.040573,           0.0031534,          0.00091257,            0.007712,            0.007712,            0.007712
                 145,            0.021802,           0.0036012,          0.00037785,             0.89677,              0.7637,             0.83464,             0.54242,            0.040328,           0.0030921,          0.00076797,            0.007696,            0.007696,            0.007696
                 146,            0.021955,           0.0041196,          0.00039768,             0.90451,             0.75787,             0.82771,             0.54926,            0.039963,           0.0029844,          0.00095602,             0.00768,             0.00768,             0.00768
                 147,            0.021824,           0.0034474,           0.0003759,             0.89407,              0.7616,             0.82952,             0.54018,            0.040445,           0.0030289,          0.00083215,            0.007664,            0.007664,            0.007664
                 148,             0.02068,             0.00302,          0.00035146,             0.90728,             0.77166,             0.81732,             0.54018,            0.040532,           0.0031174,          0.00097504,            0.007648,            0.007648,            0.007648
